Shooter,Goalie,Shooter_Year,Goalie_Year
Daniel Sprong,Scott Wedgewood,2021,2021
Evgeny Kuznetsov,Scott Wedgewood,2021,2021
Janne Kuokkanen,Vitek Vanecek,2021,2021
Scott Mayfield,Elvis Merzlikins,2021,2021
Boone Jenner,Ilya Sorokin,2021,2021
Cole Sillinger,Ilya Sorokin,2021,2021
Mathew Barzal,Elvis Merzlikins,2021,2021
Patrik Laine,Ilya Sorokin,2021,2021
Jason Dickinson,Kevin Lankinen,2021,2021
Alex DeBrincat,Thatcher Demko,2021,2021
Tanner Pearson,Kevin Lankinen,2021,2021
Brock Boeser,Kevin Lankinen,2021,2021
Filip Chytil,Juuse Saros,2021,2021
Philip Tomasino,Igor Shesterkin,2021,2021
Alexis Lafrenière,Juuse Saros,2021,2021
Troy Terry,Connor Hellebuyck,2021,2021
Pierre-Luc Dubois,John Gibson,2021,2021
Andrew Copp,John Gibson,2021,2021
Josh Morrissey,John Gibson,2021,2021
Kyle Connor,John Gibson,2021,2021
Warren Foegele,Karel Vejmelka,2021,2021
Zach Hyman,Karel Vejmelka,2021,2021
Connor McDavid,Karel Vejmelka,2021,2021
Dysin Mayo,Mikko Koskinen,2021,2021
Zach Hyman,Karel Vejmelka,2021,2021
Connor McDavid,Karel Vejmelka,2021,2021
David Pastrnak,Craig Anderson,2021,2021
Tomas Nosek,Craig Anderson,2021,2021
Charlie Coyle,Craig Anderson,2021,2021
Victor Olofsson,Linus Ullmark,2021,2021
Logan Couture,Michael Hutchinson,2021,2021
Jason Spezza,Adin Hill,2021,2021
Timo Meier,Michael Hutchinson,2021,2021
Ondrej Kase,Adin Hill,2021,2021
Erik Karlsson,Michael Hutchinson,2021,2021
Jonathan Dahlen,Michael Hutchinson,2021,2021
John Tavares,Adin Hill,2021,2021
Anze Kopitar,Braden Holtby,2021,2021
Tyler Seguin,Jonathan Quick,2021,2021
Gabriel Vilardi,Braden Holtby,2021,2021
Miro Heiskanen,Jonathan Quick,2021,2021
Denis Gurianov,Jonathan Quick,2021,2021
Nicolas Roy,Mikko Koskinen,2021,2021
Zach Hyman,Robin Lehner,2021,2021
Nolan Patrick,Mikko Koskinen,2021,2021
Zach Hyman,Robin Lehner,2021,2021
Leon Draisaitl,Robin Lehner,2021,2021
Nicolas Hague,Mikko Koskinen,2021,2021
Zack Kassian,Robin Lehner,2021,2021
Dylan Larkin,Jake Allen,2021,2021
Ben Chiarot,Thomas Greiss,2021,2021
Mike Hoffman,Thomas Greiss,2021,2021
Christian Dvorak,Thomas Greiss,2021,2021
Mathieu Perreault,Thomas Greiss,2021,2021
Mathieu Perreault,Thomas Greiss,2021,2021
Nick Paul,Alexandar Georgiev,2021,2021
Josh Norris,Alexandar Georgiev,2021,2021
Chris Kreider,Matt Murray,2021,2021
Ryan Lindgren,Anton Forsberg,2021,2021
Barclay Goodrow,Anton Forsberg,2021,2021
Gabriel Landeskog,Andrei Vasilevskiy,2021,2021
Mathieu Joseph,Darcy Kuemper,2021,2021
Mikko Rantanen,Andrei Vasilevskiy,2021,2021
Steven Stamkos,Darcy Kuemper,2021,2021
Nathan MacKinnon,Andrei Vasilevskiy,2021,2021
Brayden Point,Darcy Kuemper,2021,2021
Victor Hedman,Darcy Kuemper,2021,2021
